ESPÉCIE DE DÉBITO DETALHADA,ESPÉCIE,IDADE DA DÍVIDA,SALDO INICIAL DO PROCESSO,SALDO PROCESSO,VALOR RECOLHIMENTO PROCESSO,FAIXA DE RECOLHIMENTO,TAXA DE RECOLHIMENTO,PERÍODO DA DÍVIDA,PERIODO BAIXADO,SITUAÇÃO DO SALDO,INDICADOR DE PF OU PJ,SEGMENTO CONTRIBUINTE,QTDE. ANOS DO ESGOTAMENTO,ULTIMA ARRECADACAO,RATING
6,1,5,9065.69,15885.76,0.0,0,0.0,0,0,0,1,6,0,24525.25,1
9,1,17,3225.49,12294.89,708.24,2,0.2195759403997532,1,1,2,1,7,3,0.0,1
5,2,3,2484.87,2435.05,0.0,0,0.0,0,0,0,0,10,0,2599.65,3
5,2,1,0.0,421.65,0.0,0,0.0,0,0,0,0,10,0,0.0,2
9,1,1,0.0,18354.62,0.0,0,0.0,0,0,1,1,1,0,6719.8,0
5,2,1,0.0,423.76,0.0,0,0.0,0,0,0,0,10,0,0.0,2
4,1,4,86.05,114.41,0.0,0,0.0,0,1,0,1,12,0,0.0,3
9,1,11,10286.21,3377.12,12510.87,1,1.216275965588881,1,0,2,1,15,15,2193.47,0
5,2,1,0.0,423.45,0.0,0,0.0,0,0,0,0,10,0,0.0,2
5,2,3,1767.85,832.5799999999999,662.08,2,0.3745114121673219,0,0,2,0,10,1,2173.78,1
11,3,9,12979.2,16345.69,18770.91,1,1.44623012204142,1,0,0,1,10,0,0.0,0
5,2,1,0.0,773.41,0.0,0,0.0,0,0,0,0,10,0,0.0,2
9,1,5,0.0,8481.92,0.0,0,0.0,0,0,1,1,8,0,58210.08,0
5,2,3,1864.84,638.43,0.0,0,0.0,0,0,0,0,10,0,0.0,3
4,1,12,126.6,55.55,66.92,1,0.5285939968404423,1,1,2,1,17,3,0.0,0
9,1,4,2012.16,3495.07,0.0,0,0.0,0,2,0,1,17,16,0.0,3
9,1,14,999.96,2599.37,393.65,2,0.3936657466298652,1,1,2,1,17,5,0.0,1
5,2,3,1870.33,604.83,0.0,0,0.0,0,0,0,0,10,0,0.0,3
6,1,20,25076.63,78575.17,5032.38,2,0.2006800754327834,1,1,2,1,7,8,0.0,0
6,1,3,65136.81,75894.87999999999,1023.12,0,0.01570724756094135,0,0,2,1,8,12,88123.59,1
5,2,1,778.05,816.9599999999999,0.0,0,0.0,0,0,0,0,10,0,2636.74,2
8,0,5,918.04,1434.26,393.26,2,0.4283691342425167,0,0,2,0,10,12,0.0,1
