ESPÉCIE DE DÉBITO DETALHADA,ESPÉCIE,IDADE DA DÍVIDA,SALDO INICIAL DO PROCESSO,SALDO PROCESSO,VALOR RECOLHIMENTO PROCESSO,FAIXA DE RECOLHIMENTO,TAXA DE RECOLHIMENTO,PERÍODO DA DÍVIDA,PERIODO BAIXADO,SITUAÇÃO DO SALDO,INDICADOR DE PF OU PJ,SEGMENTO CONTRIBUINTE,QTDE. ANOS DO ESGOTAMENTO,ULTIMA ARRECADACAO,RATING
5,2,1,1281.66,1353.44,0.0,0,0.0,0,0,0,0,10,0,0.0,2
5,2,3,1380.27,606.88,0.0,0,0.0,0,0,0,0,10,0,0.0,3
9,1,17,2448.26,9216.62,255.68,3,0.1044333526667919,1,1,0,1,13,10,0.0,2
6,1,5,30011.2,52107.99,1100.61,0,0.03667330863144426,0,0,2,1,17,15,0.0,3
9,1,1,0.0,17385.35,0.0,0,0.0,0,0,1,1,15,0,0.0,0
9,1,16,328.09,1205.73,103.52,2,0.3155231796153495,1,1,0,1,2,9,0.0,1
5,2,1,778.05,816.9599999999999,0.0,0,0.0,0,0,0,0,10,0,0.0,2
5,2,3,1849.54,605.35,0.0,0,0.0,0,0,0,0,10,0,0.0,3
9,1,15,1213.69,3066.88,13630.76,1,11.2308414834101,1,1,2,1,6,5,0.0,0
5,2,3,1232.85,1230.59,0.0,0,0.0,0,0,0,0,10,0,0.0,3
4,1,3,38639.28,39182.36,13904.78,2,0.3598612603547479,0,0,2,1,6,2,30159.44,1
9,1,1,0.0,30512.83,0.0,0,0.0,0,0,1,1,17,0,193574.22,0
6,1,2,398455.39,447595.63,0.0,0,0.0,0,0,0,1,7,0,0.0,1
4,1,7,258.22,400.16,0.0,0,0.0,1,1,0,1,8,0,0.0,3
5,2,1,2327.84,2513.98,0.0,0,0.0,0,0,0,0,10,0,0.0,2
9,1,3,0.0,14827.54,0.0,0,0.0,0,0,1,1,1,0,0.0,0
5,2,1,0.0,253.01,0.0,0,0.0,0,0,0,0,10,0,0.0,2
9,1,10,24373.01,51957.73,7821.59,2,0.3209119431699244,1,1,2,1,13,18,0.0,1
5,2,1,0.0,191.86,0.0,0,0.0,0,0,0,0,10,0,0.0,2
9,1,13,234634.14,663814.06,96228.99,2,0.4101235651384748,1,1,2,1,13,3,0.0,1
4,1,4,69526.5,101172.47,0.0,0,0.0,0,2,0,1,17,0,0.0,3
5,2,3,1767.85,606.85,0.0,0,0.0,0,0,0,0,10,0,0.0,3
5,2,1,1281.66,1353.44,0.0,0,0.0,0,0,0,0,10,0,0.0,2
9,1,10,91454.79,235197.9,49643.2026,1,0.5428168672193113,1,1,2,1,1,20,0.0,0
2,1,10,94169.4,267702.25,0.0,0,0.0,1,1,0,1,12,0,0.0,2
5,2,3,1802.91,606.87,0.0,0,0.0,0,0,0,0,10,0,0.0,3
4,1,4,352.48,154.8,249.3641,1,0.7074560258738084,0,0,2,1,6,15,0.0,0
6,1,5,5844.01,10787.28,0.0,0,0.0,0,0,0,1,12,0,0.0,1
2,1,12,2741.82,8762.34,0.0,0,0.0,1,1,0,1,6,0,0.0,3
5,2,17,776.5171,1471.22,0.0,0,0.0,1,0,0,1,10,0,12054.33,3
5,2,11,1476.51,2431.17,0.0,0,0.0,1,1,0,1,7,0,0.0,3
6,1,1,11793.41,11736.27,0.0,0,0.0,0,0,0,1,9,0,341.23,0
4,1,8,15273.92,15893.88,2398.24,3,0.1570153568959376,1,1,1,1,0,0,0.0,0
5,2,3,1013.92,616.65,0.0,0,0.0,0,0,0,0,10,0,1312.66,3
9,1,10,8464.26,22773.61,1802.79,2,0.212988495154922,1,0,0,1,0,20,0.0,1
5,2,3,1849.54,605.36,0.0,0,0.0,0,0,0,0,10,0,0.0,3
5,2,1,785.6400000000001,824.93,0.0,0,0.0,0,0,0,0,10,0,0.0,2
5,2,11,1666.81,2217.0,358.75,2,0.2152314900918521,1,0,2,0,10,1,5452.77,1
5,2,4,1106.63,203.62,0.0,0,0.0,0,0,0,0,10,0,0.0,3
2,1,22,6626.21,13769.15,1821.73,2,0.2749278999609128,1,1,2,1,1,2,0.0,1
11,3,3,9718.05,14165.68,0.0,0,0.0,0,0,0,1,17,0,0.0,3
4,1,1,66133.87,81983.81,0.0,0,0.0,0,0,0,1,17,0,0.0,3
5,2,1,0.0,423.76,0.0,0,0.0,0,0,0,0,10,0,0.0,2
4,1,1,89.24,106.91,0.0,0,0.0,0,0,0,1,12,0,6495.3,1
5,2,1,778.05,816.9599999999999,0.0,0,0.0,0,0,0,0,10,0,412.09,2
9,1,17,1648.53,4656.28,701.43,2,0.4254881621808521,1,1,2,1,17,5,0.0,1
