ESPÉCIE DE DÉBITO DETALHADA,ESPÉCIE,IDADE DA DÍVIDA,SALDO INICIAL DO PROCESSO,SALDO PROCESSO,VALOR RECOLHIMENTO PROCESSO,FAIXA DE RECOLHIMENTO,TAXA DE RECOLHIMENTO,PERÍODO DA DÍVIDA,PERIODO BAIXADO,SITUAÇÃO DO SALDO,INDICADOR DE PF OU PJ,SEGMENTO CONTRIBUINTE,QTDE. ANOS DO ESGOTAMENTO,ULTIMA ARRECADACAO,RATING
4,1,12,1470.84,1959.72,428.89,2,0.2915952788882543,1,1,2,1,17,3,0.0,1
5,2,1,0.0,421.65,0.0,0,0.0,0,0,0,0,10,0,0.0,2
9,1,14,2847.7,9422.23,4073.68,1,1.430515854900446,1,1,0,1,0,6,0.0,0
5,2,1,0.0,421.65,0.0,0,0.0,0,0,0,0,10,0,0.0,2
5,2,3,1887.8,604.41,0.0,0,0.0,0,0,0,0,10,0,0.0,3
8,0,7,2208.24,5927.0,0.0,0,0.0,1,0,0,0,10,0,0.0,3
5,2,3,1840.19,589.51,0.0,0,0.0,0,0,0,0,10,0,0.0,3
5,2,1,0.0,773.41,0.0,0,0.0,0,0,0,0,10,0,0.0,2
5,2,4,1023.52,221.63,0.0,0,0.0,0,0,0,0,10,0,0.0,3
5,2,4,1500.75,1223.35,983.94,1,0.655632183908046,0,0,2,0,10,15,0.0,0
9,1,10,11680.13,32965.18,2738.08,2,0.2344220483847354,1,1,0,1,17,3,0.0,1
6,1,9,3279.7,5690.6,315.47,3,0.0961886757935177,1,1,1,1,1,0,0.0,0
5,2,1,1281.66,1353.44,0.0,0,0.0,0,0,0,0,10,0,0.0,2
5,2,1,0.0,423.76,0.0,0,0.0,0,0,0,0,10,0,0.0,2
6,1,1,18109.39,14194.73,2206.39,3,0.1218367929565822,0,0,1,1,12,0,59281.9,0
5,2,1,1280.18,1361.57,0.0,0,0.0,0,0,0,0,10,0,0.0,2
9,1,4,8228.66,9097.87,2855.766,2,0.347051160213206,0,0,2,1,13,2,404.1,1
6,1,2,27581.07,34348.73,0.0,0,0.0,0,0,0,1,0,0,225.95,1
5,2,3,1862.67,613.97,0.0,0,0.0,0,0,0,0,10,0,0.0,3
